Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4869,97,3,12.7,0.00242,1.06,509096128,509.096128,Kansas_Nat_131_F_Wa,Kansas,131,Nat,F,Wa,4869,0.0317,13.3,1.064,0.00643,0.44,10263,1.0263,13.64979,1.0919832,1.052222,0.227898,Natural,Kansas,39.001464,-95.239938,16,90,4869,-95.239938,39.001464
4873,97.2,2.84,11.1,0.00247,0.64,538334505,538.334505,Bradley_Ag_28_F_Co,Bradley,28,Ag,F,Co,4873,4.60E-03,22.1,1.625,0.00592,0.997,11269,1.1269,24.90449,1.8312125,2.100591,0.285796,Agricultural,Bradley,41.16467102,-87.81988903,14,85,4873,-87.81988903,41.16467102
4875,90.4,9.58,20.1,0.0135,1.23,246497027,246.497027,Weston_Ag_104_F_Wa,Weston,104,Ag,F,Wa,4875,0.18,19.7,1.551181102,0.00625,2.26,10491,1.0491,20.66727,1.627344094,1.200646,0.328376,Agricultural,Weston,41.37218297,-83.79889,1,109,4875,-83.79889,41.37218297
4876,96.9,3.13,14.8,0.00303,0.73,553376427,553.376427,Maume_Nat_35_F_Co,Maume,35,Nat,F,Co,4876,0.0168,15.2,1.369369369,0.00482,0.507,11320,1.132,17.2064,1.550126126,1.0588,0.135793,Natural,Maume,41.55656599,-83.66247503,1,66,4876,-83.66247503,41.55656599
4882,97.3,2.71,13,0.00226,0.802,541781510,541.78151,MarkTwain_Nat_53_M_Wa,MarkTwain,53,Nat,M,Wa,4882,0.00244,31.5,1.567164179,0.00546,1.87,11983,1.1983,37.74645,1.877932836,2.747158,0.722319,Natural,MarkTwain,39.46407096,-91.68243396,10,106,4882,-91.68243396,39.46407096
4886,97.2,2.82,13,0.00286,0.719,529736917,529.736917,Mulberry_Ag_180_M_Wa,Mulberry,180,Ag,M,Wa,4886,0.00452,23.7,1.601351351,0.00732,1.44,11571,1.1571,27.42327,1.852923649,2.128193,0.362913,Agricultural,Mulberry,38.755485,-89.272475,5,15,4886,-89.272475,38.755485
4887,96.9,3.07,11.8,0.0028,0.706,526940977,526.940977,HWY66_Ag_60_F_Co,HWY66,60,Ag,F,Co,4887,0.00493,21.5,1.653846154,0.00713,1.68,12040,1.204,25.886,1.991230769,2.148926,0.357236,Agricultural,HWY66,40.82949003,-88.66930699,13,76,4887,-88.66930699,40.82949003
4888,96.9,3.15,15.1,0.00281,0.751,530709830,530.70983,Maume_Nat_160_F_So,Maume,160,Nat,F,So,4888,0.0323,15.4,1.184615385,0.00379,0.695,11350,1.135,17.479,1.344538462,1.015014,0.124533,Natural,Maume,41.55656599,-83.66247503,1,71,4888,-83.66247503,41.55656599
4891,97,3.04,13.3,0.00417,1.1,521042030,521.04203,Knox_Nat_97_M_Wa,Knox,97,Nat,M,Wa,4891,0.0212,13.5,1.144067797,0.00389,0.777,12656,1.2656,17.0856,1.447932203,1.162374,0.527466,Natural,Knox,41.31732501,-86.746256,15,111,4891,-86.746256,41.31732501
4895,97.4,2.56,12.8,0.00212,0.587,538280036,538.280036,Baldwin_Ag_102_F_Co,Baldwin,102,Ag,F,Co,4895,0.001,56.4,3.735099338,0.00483,1.7,11019,1.1019,62.14716,4.11570596,4.400806,0.881838,Agricultural,Baldwin,38.782048,-95.171401,17,108,4895,-95.171401,38.782048
