sample	env	sex	lat	long	year	state
4919	Nat	F	39.05562996	-84.89810603	2019	Indiana
4921	Nat	F	38.927036	-95.241462	2019	Kansas
4925	Nat	F	38.699066	-90.068054	2019	Illinois
4928	Ag	F	38.755485	-89.272475	2019	Illinois
4933	Nat	M	39.001464	-95.239938	2019	Kansas
4935	Ag	M	38.670222	-90.065665	2019	Illinois
4939	Nat	M	38.66783702	-91.55559699	2019	Missouri
4944	Nat	F	40.12487104	-90.36914203	2019	Illinois
4948	Ag	M	38.63920603	-91.51230698	2019	Missouri
4955	Ag	F	41.37218297	-83.79889	2019	Ohio
4958	Nat	F	38.732444	-89.277403	2019	Illinois
4960	Nat	F	41.31732501	-86.746256	2019	Indiana
4964	Nat	M	39.05562996	-84.89810603	2019	Indiana
4965	Ag	F	40.55406597	-89.48221204	2019	Illinois
4966	Ag	F	39.305104	-88.139778	2019	Illinois
4968	Nat	F	39.001464	-95.239938	2019	Kansas
4977	Nat	F	40.87326997	-88.62446599	2019	Illinois
4979	Nat	M	39.393248	-88.163216	2019	Illinois
4981	Ag	F	38.63920603	-91.51230698	2019	Missouri
4982	Ag	M	41.35604002	-86.73699299	2019	Indiana
4984	Nat	M	38.732444	-89.277403	2019	Illinois
4989	Ag	M	41.16467102	-87.81988903	2019	Illinois
5002	Nat	F	41.03727398	-83.81345096	2019	Ohio
5006	Nat	F	41.15132703	-87.89857297	2019	Illinois
5008	Ag	M	38.755485	-89.272475	2019	Illinois
5015	Ag	M	41.37218297	-83.79889	2019	Ohio
5018	Ag	M	41.06360497	-83.78943597	2019	Ohio
5031	Nat	M	38.558781	-90.447501	2019	Missouri
5032	Ag	F	41.37218297	-83.79889	2019	Ohio
5040	Nat	F	41.55656599	-83.66247503	2019	Ohio
5053	Nat	M	39.001464	-95.239938	2019	Kansas
5061	Ag	M	39.463458	-91.98047097	2019	Missouri
5066	Nat	M	41.55656599	-83.66247503	2019	Ohio
5073	Ag	F	38.988681	-95.215847	2019	Kansas
5079	Nat	M	39.393248	-88.163216	2019	Illinois
5084	Ag	F	38.66890403	-90.63545798	2019	Missouri
5086	Ag	M	41.37218297	-83.79889	2019	Ohio
5089	Nat	F	38.65643696	-90.73639403	2019	Missouri
5097	Ag	F	38.755485	-89.272475	2019	Illinois
5098	Ag	F	41.16467102	-87.81988903	2019	Illinois
5099	Ag	M	38.670222	-90.065665	2019	Illinois
5100	Nat	F	38.927036	-95.241462	2019	Kansas
5102	Ag	F	38.988681	-95.215847	2019	Kansas
5105	Nat	M	38.927036	-95.241462	2019	Kansas
5110	Nat	F	39.05562996	-84.89810603	2019	Indiana
5115	Nat	M	39.05562996	-84.89810603	2019	Indiana
5116	Nat	F	38.732444	-89.277403	2019	Illinois
5117	Ag	M	41.16467102	-87.81988903	2019	Illinois
5122	Ag	F	41.06360497	-83.78943597	2019	Ohio
5125	Nat	F	41.15132703	-87.89857297	2019	Illinois
5134	Ag	F	39.01893298	-84.92674196	2019	Indiana
5136	Ag	F	39.01893298	-84.92674196	2019	Indiana
5137	Nat	F	40.87326997	-88.62446599	2019	Illinois
5138	Nat	F	41.55656599	-83.66247503	2019	Ohio
5142	Ag	F	41.35604002	-86.73699299	2019	Indiana
5144	Ag	M	39.01893298	-84.92674196	2019	Indiana
5145	Ag	F	40.17519498	-90.26269396	2019	Illinois
5147	Ag	F	38.755485	-89.272475	2019	Illinois
5150	Ag	M	39.305104	-88.139778	2019	Illinois
5151	Nat	F	38.732444	-89.277403	2019	Illinois
5156	Nat	M	41.15132703	-87.89857297	2019	Illinois
5157	Nat	M	38.65643696	-90.73639403	2019	Missouri
5161	Nat	M	38.558781	-90.447501	2019	Missouri
5163	Nat	F	38.927036	-95.241462	2019	Kansas
5165	Ag	M	38.755485	-89.272475	2019	Illinois
5169	Nat	M	41.55656599	-83.66247503	2019	Ohio
5170	Ag	F	38.6589929	-90.7440433	2019	Missouri
5171	Nat	M	39.001464	-95.239938	2019	Kansas
5176	Ag	M	38.66890403	-90.63545798	2019	Missouri
5183	Nat	F	41.31732501	-86.746256	2019	Indiana
5189	Nat	M	41.15132703	-87.89857297	2019	Illinois
5197	Ag	F	38.670222	-90.065665	2019	Illinois
5202	Nat	F	39.393248	-88.163216	2019	Illinois
5203	Ag	M	38.782048	-95.171401	2019	Kansas
5204	Nat	F	38.927036	-95.241462	2019	Kansas
5205	Nat	M	39.46407096	-91.68243396	2019	Missouri
5206	Nat	F	39.393248	-88.163216	2019	Illinois
